2022年9月22日 星期四 下午8:51:56 ,29,72,36.2
2022年9月22日 星期四 下午8:52:06 ,29,72,36.2
2022年9月22日 星期四 下午8:52:16 ,29,72,36.2
2022年9月24日 星期六 下午5:31:12 ,29,76,36.6
2022年9月24日 星期六 下午5:31:22 ,29,76,36.6
2022年9月24日 星期六 下午5:31:33 ,29,76,36.6
2022年9月24日 星期六 下午5:35:58 ,29,76,36.6
2022年9月24日 星期六 下午5:36:09 ,29,76,36.6
2022年9月24日 星期六 下午5:36:19 ,29,76,36.6
2022年9月24日 星期六 下午5:36:29 ,29,76,36.6
2022年9月24日 星期六 下午5:37:44 ,-1,-1,-1.1
2022年9月24日 星期六 下午5:37:54 ,29,75,36.5
2022年9月24日 星期六 下午5:39:32 ,29,76,36.6
2022年9月24日 星期六 下午5:43:56 ,29,76,36.6
2022年9月24日 星期六 下午5:44:06 ,29,76,36.6
2022年9月24日 星期六 下午5:44:17 ,29,75,36.5
2022年9月24日 星期六 下午5:44:26 ,29,75,36.5
2022年9月24日 星期六 下午5:44:36 ,29,75,36.5
2022年9月24日 星期六 下午5:45:13 ,29,75,36.5
2022年9月24日 星期六 下午5:45:42 ,29,75,36.5
2022年9月24日 星期六 下午5:48:31 ,-1,-1,-1.1
2022年9月24日 星期六 下午5:49:41 ,-1,-1,-1.1
2022年9月24日 星期六 下午5:50:01 ,30,75,37.5
2022年9月24日 星期六 下午5:50:34 ,29,75,36.5
2022年9月24日 星期六 下午5:51:47 ,30,75,37.5
2022年9月24日 星期六 下午5:52:28 ,30,75,37.5
2022年9月24日 星期六 下午5:52:38 ,30,75,37.5
2022年9月24日 星期六 下午5:52:48 ,29,75,36.5
2022年9月24日 星期六 下午5:52:59 ,30,75,37.5
2022年9月24日 星期六 下午5:53:14 ,30,75,37.5
2022年9月24日 星期六 下午5:53:24 ,30,75,37.5
2022年9月24日 星期六 下午5:53:34 ,30,75,37.5
2022年9月24日 星期六 下午7:36:54 ,30,77,37.7
2022年9月24日 星期六 下午7:37:04 ,30,76,37.6
2022年9月24日 星期六 下午7:37:20 ,30,76,37.6
2022年9月24日 星期六 下午7:37:30 ,30,76,37.6
2022年9月24日 星期六 下午7:37:50 ,30,76,37.6
2022年9月24日 星期六 下午7:38:00 ,30,76,37.6
2022年9月24日 星期六 下午7:38:11 ,30,76,37.6
2022年9月24日 星期六 下午7:38:21 ,30,75,37.5
2022年9月24日 星期六 下午7:38:31 ,30,75,37.5
2022年9月28日 星期三 下午7:03:26 ,-1,-1,-1.1
2022年9月28日 星期三 下午7:03:36 ,30,82,38.2
2022年9月28日 星期三 下午7:03:47 ,30,82,38.2
2022年9月28日 星期三 下午7:03:57 ,30,82,38.2
2022年9月28日 星期三 下午7:04:07 ,30,81,38.1
2022年9月28日 星期三 下午7:04:18 ,30,81,38.1
2022年9月28日 星期三 下午7:04:28 ,30,81,38.1
2022年9月28日 星期三 下午7:04:38 ,30,81,38.1
2022年9月28日 星期三 下午7:04:49 ,30,81,38.1
2022年9月28日 星期三 下午7:05:05 ,30,81,38.1
2022年9月28日 星期三 下午7:05:22 ,-1,-1,-1.1
2022年9月28日 星期三 下午7:05:40 ,-1,-1,-1.1
2022年9月28日 星期三 下午7:12:13 ,-1,-1,-1.1
2022年9月28日 星期三 下午7:12:23 ,-1,-1,-1.1
2022年9月28日 星期三 下午7:12:32 ,30,81,38.1
2022年9月28日 星期三 下午7:12:42 ,30,81,38.1
2022年9月28日 星期三 下午7:12:53 ,30,81,38.1
2022年9月28日 星期三 下午7:13:03 ,30,81,38.1
2022年9月28日 星期三 下午7:13:13 ,30,81,38.1
2022年9月28日 星期三 下午7:13:24 ,30,81,38.1
2022年9月28日 星期三 下午7:13:34 ,30,81,38.1
2022年9月28日 星期三 下午7:13:44 ,30,81,38.1
2022年9月28日 星期三 下午7:13:48 ,30,81,38.1
2022年9月28日 星期三 下午7:13:58 ,30,81,38.1
2022年9月28日 星期三 下午7:14:09 ,30,81,38.1
2022年9月28日 星期三 下午7:14:19 ,30,81,38.1
2022年9月28日 星期三 下午7:14:39 ,30,81,38.1
2022年9月28日 星期三 下午7:14:49 ,30,81,38.1
2022年9月28日 星期三 下午7:14:59 ,30,81,38.1
2022年9月28日 星期三 下午7:15:10 ,30,81,38.1
2022年9月28日 星期三 下午7:15:37 ,-1,-1,-1.1
2022年9月28日 星期三 下午7:15:47 ,30,81,38.1
2022年9月28日 星期三 下午7:15:58 ,30,81,38.1
2022年9月28日 星期三 下午7:16:08 ,30,81,38.1
2022年9月28日 星期三 下午7:16:18 ,30,81,38.1
2022年9月28日 星期三 下午7:16:29 ,30,81,38.1
2022年9月28日 星期三 下午8:16:29 ,30,81,38.1
2022年10月3日 星期一 下午5:12:39 ,-1,-1,-1.1
2022年10月3日 星期一 下午5:12:50 ,-1,-1,-1.1
2022年10月3日 星期一 下午5:13:00 ,-1,-1,-1.1
2022年10月3日 星期一 下午5:13:10 ,-1,-1,-1.1
2022年10月3日 星期一 下午5:13:25 ,31,78,38.8
2022年10月3日 星期一 下午5:13:35 ,31,78,38.8
2022年10月3日 星期一 下午5:13:46 ,31,78,38.8
2022年10月3日 星期一 下午5:14:06 ,-1,-1,-1.1
2022年10月3日 星期一 下午5:14:16 ,-1,-1,-1.1
2022年10月3日 星期一 下午5:14:26 ,31,83,39.3
2022年10月3日 星期一 下午5:14:37 ,31,83,39.3
2022年10月3日 星期一 下午5:14:47 ,31,83,39.3
2022年10月3日 星期一 下午5:14:58 ,31,79,38.9
2022年10月5日 星期三 下午5:25:23 ,-1,-1,-1.1
2022年10月5日 星期三 下午5:25:34 ,23,60,29.0
2022年10月5日 星期三 下午5:25:44 ,23,60,29.0
2022年10月5日 星期三 下午5:26:07 ,23,60,29.0
2022年10月5日 星期三 下午5:26:18 ,24,60,30.0
2022年10月5日 星期三 下午5:26:33 ,-1,-1,-1.1
2022年10月5日 星期三 下午5:26:43 ,24,60,30.0
2022年10月5日 星期三 下午5:26:54 ,24,60,30.0
2022年10月5日 星期三 下午5:27:04 ,24,60,30.0
2022年10月5日 星期三 下午5:27:15 ,24,59,29.9
2022年10月5日 星期三 下午5:27:25 ,25,58,30.8
2022年10月5日 星期三 下午5:27:36 ,25,58,30.8
2022年10月5日 星期三 下午5:27:54 ,25,57,30.7
2022年10月5日 星期三 下午5:28:05 ,25,56,30.6
2022年10月5日 星期三 下午5:28:21 ,26,57,31.7
2022年10月5日 星期三 下午5:28:31 ,26,56,31.6
2022年10月5日 星期三 下午5:28:41 ,26,56,31.6
2022年10月5日 星期三 下午5:56:08 ,26,55,31.5
2022年10月5日 星期三 下午5:56:19 ,26,55,31.5
2022年10月5日 星期三 下午5:56:36 ,27,47,31.7
2022年10月5日 星期三 下午5:56:46 ,28,48,32.8
2022年10月5日 星期三 下午5:57:48 ,28,47,32.7
2022年10月5日 星期三 下午5:57:58 ,27,45,31.5
2022年10月5日 星期三 下午5:58:32 ,28,46,32.6
2022年10月5日 星期三 下午5:58:43 ,28,46,32.6
2022年10月5日 星期三 下午5:58:53 ,27,46,31.6
2022年10月5日 星期三 下午5:59:03 ,27,46,31.6
2022年10月5日 星期三 下午6:04:12 ,27,46,31.6
2022年10月5日 星期三 下午6:04:31 ,-1,-1,-1.1
2022年10月5日 星期三 下午6:09:31 ,29,48,33.8
2022年10月5日 星期三 下午6:09:42 ,29,48,33.8
2022年10月5日 星期三 下午6:09:52 ,28,46,32.6
2022年10月5日 星期三 下午6:10:13 ,28,47,32.7
2022年10月5日 星期三 下午6:10:23 ,28,47,32.7
2022年10月5日 星期三 下午6:10:34 ,28,47,32.7
2022年10月5日 星期三 下午6:10:44 ,28,48,32.8
2022年10月5日 星期三 下午6:10:54 ,29,49,33.9
2022年10月5日 星期三 下午6:11:05 ,29,49,33.9
2022年10月5日 星期三 下午6:11:15 ,28,48,32.8
2022年10月5日 星期三 下午6:11:25 ,29,49,33.9
2022年10月5日 星期三 下午6:17:40 ,29,49,33.9
2022年10月5日 星期三 下午6:17:50 ,28,46,32.6
2022年10月5日 星期三 下午6:18:01 ,28,46,32.6
